,id,full_name,first_name,last_name,is_active
1352,76707,Eric Fernsten,Eric,Fernsten,False
1353,76708,Al Ferrari,Al,Ferrari,False
1354,76709,Rolando Ferreira,Rolando,Ferreira,False
1355,273,Duane Ferrell,Duane,Ferrell,False
1356,1627812,Yogi Ferrell,Yogi,Ferrell,False
1357,76711,Arnie Ferrin,Arnie,Ferrin,False
1358,76712,Bob Ferry,Bob,Ferry,False
1359,198,Danny Ferry,Danny,Ferry,False
1360,201178,Kyrylo Fesenko,Kyrylo,Fesenko,False
1361,76713,Kenny Fields,Kenny,Fields,False
1362,202361,Landry Fields,Landry,Fields,False
1363,76714,Ron Filipek,Ron,Filipek,False
